C,Si,Mn,P,S,Cr,Ni,adj_C,adj_Si,adj_Mn,adj_P,adj_S,adj_Cr,adj_Ni
0.4496714153011233,0.9654339247072038,0.9295377076201385,0.04142272392306019,0.01882923312638332,1.1297589129152459,0.6974016019384239,-0.04432458892799155,0.032004337823699616,-0.12142438910372574,-0.012878908545290946,0.0001847812697223939,0.07242458092671561,-0.23899662095299842
0.22750821674869673,0.8594281176897568,0.5974337759331153,0.03235685499446455,0.015459879622393945,0.7763088895994126,0.6832060961151942,0.16814577498164976,0.14165619540382032,0.17085614166171753,-0.0035739235578346558,0.004812325748013648,0.3726225485575428,-0.17557168335257037
0.33993613100811954,0.9270765625516808,0.6796586775541207,0.04389208638381703,0.019932513876310332,0.8826867213132299,0.6028181140128986,0.05028932238679557,0.07486426976888474,0.09283905277158257,-0.018393586014121655,0.00046253713559927167,0.34222273701665584,-0.10071340110316021
0.388435171761176,0.9247240761026778,0.5042956019265146,0.024601168437039685,0.017696806145201062,1.5171366678656746,0.5429522861960576,0.005999822270606608,0.07836366385776224,0.2835471811187256,0.003679528776256992,0.0036674273394391253,-0.282377893507136,-0.03708966493732747
0.3160782476777362,0.9226969060371963,0.8662526862807128,0.03731658845341769,0.01760412881077355,1.144302307000855,0.3617081282492465,0.07149056347086756,0.08520922160716636,-0.05455475171014638,-0.007513295538986746,0.004643370540760543,0.05843519427929376,0.12808015040477033
0.4361395605508414,1.3845091416164923,0.7928347921780098,0.04173482741860504,0.006901274479551278,1.4465707513125672,0.5108808835297715,-0.03781817467650391,-0.3807973343214484,0.0017659355594241742,-0.012431952363529303,0.014280722618885614,-0.20717441872585574,-0.01248134775451723
0.31915063971068125,0.8745607391038659,0.9830804235404149,0.03246563332244763,0.017351198981164807,1.3539802299340067,0.5121346936685051,0.09061808305358829,0.11522865258779746,-0.1897346002913385,-0.003346529121548553,-0.0006658848659983332,-0.14882832254482506,-0.011295800548300164
0.4005113456642461,0.9413532166562133,0.5169258515899171,0.026845160079259807,0.018286427417366153,0.9593168192335143,0.47983928604174886,0.0003174170147596814,0.07348102873564767,0.2883651506056134,0.003751193727611162,0.0015519239030869158,0.1906640424097527,0.02005423234146707
0.40602302099410265,1.6158105281213215,0.7615278070437755,0.03226160506750209,0.019826441151473785,0.8493965887141404,0.6428528518143776,-0.004066264084525905,-0.5655158841202939,0.03315480508335172,0.0008612402265977233,-0.002654473642684694,0.3723525353758282,-0.10718065727077736
0.30094636748693115,0.858425567599307,0.8199302730175283,0.026223932594128505,0.012246682844669336,1.220568892441808,0.3672120357842369,0.10469192243285007,0.12671888752251614,-0.0137413426223672,0.0019137990984257793,0.006859489615052386,-0.01726854319270523,0.11398183890238603
